hostname,TIC_ID,GaiaDR3_ID,Tmag
CoRoT-28,106352250,4284680029006075648,12.671
CoRoT-29,370736259,4285073581136130560,14.5448
CoRoT-3,392353449,4263427117767106816,12.7127
CoRoT-30,320636129,4477300378701511296,14.8279
CoRoT-31,250595183,3020494716521521152,14.8468
CoRoT-32,220323515,3326541506073371776,13.1395
CoRoT-35,161062394,4213081309275729792,14.539
CoRoT-36,405004589,4477340334766250496,12.5161
CoRoT-4,36440357,3113201890547554432,13.1573
CoRoT-5,234112540,3125611120515388800,13.4831
CoRoT-6,130502317,4285684673395749120,13.2491
CoRoT-7,280304863,3107267177757848576,10.9996
CoRoT-8,391880567,4287832775526476800,13.4202
CoRoT-9,130162252,4285571629874670080,12.9497
CT Cha,454259409,5201360671411974912,10.9363
DE CVn,446175401,1550299304833675392,10.857
DENIS-P J082303.1-491201,388682292,5514929155583865216,17.0963
DH Tau,268148971,151374202498079872,11.4555
DMPP-1,66560666,3011005587574818432,7.4742
DMPP-2,32432767,5017319806652067072,8.1311
DMPP-4,26884478,2136027771930903808,5.2609
DMPP-6,306668068,5270480576538756352,7.1647
DMPP-7,365158631,3663051957490779264,8.25428
DMPP-8,318042295,6349054822860923008,8.073
DMPP-9,376777782,6401028668786744960,8.69
DP Leo,903484062,3971777500966832384,18.417
DS Tuc A,410214986,6387058411482257536,7.8541
EPIC 201170410,38116202,3786541956697681664,15.3176
EPIC 201238110,35019000,3600975145895223040,14.1497
EPIC 201427007,66664249,3698079992771142784,13.6514
EPIC 201497682,301610040,3810098271767907840,13.0708
EPIC 201595106,397052808,3701123406596146048,11.2023
EPIC 201841433,380583651,3909373932553827072,13.957
EPIC 206024342,75266189,6839540362940861568,12.516
EPIC 206032309,145752628,2597400855444243840,14.8945
EPIC 206042996,12785571,2600942622915012608,15.1373
EPIC 206215704,38355468,2615281560211505408,14.9871
EPIC 206317286,250956593,2621545958991110144,13.1461
EPIC 211822797,337632006,658607950370340608,13.5357
EPIC 211945201,243244680,636363799347569408,9.66896
EPIC 212297394,287331845,6294955311720593024,13.5896
EPIC 212424622,297146115,3608139421926380544,12.7615
EPIC 212499991,297146957,3610090784483619456,12.734
EPIC 212587672,771548,3616620814104819328,11.7902
EPIC 212624936,2764004,3614661419960402944,13.3582
EPIC 212737443,670036,3630680754621236096,13.803
EPIC 220492298,257802602,2576563907506735232,13.2689
EPIC 220674823,266015990,2582617711154563968,11.4574
EPIC 228836835,51641442,3680103286893920768,14.2591
EPIC 229004835,94924543,3694798019281730944,9.63123
EPIC 246851721,411839167,3393939030531019520,10.8243
EPIC 248847494,392876254,3882879683758393344,11.594
EPIC 249893012,432254760,6259263137059042048,10.8872
eps CrB,356000102,1220404653534258816,3.0741
eps Eri,118572803,5164707970261890560,2.9054
eps Ind A,231698181,6412595290592307840,3.7002
eps Tau,17554529,48026706558487040,2.6539
FU Tau,58544613,149629483705467008,13.7781
G 192-15,467119250,970354749937140736,11.2273
G 196-3,88723334,824017070904063104,9.47983
G 261-6,420130591,2289304297045379456,11.8694
G 264-012,322391844,2222540228723911168,10.4626
G 268-110,471016687,2358022227591374336,11.267
G 9-40,203214081,684992690384102528,11.5219
Gaia-1,11755687,3026325426682637824,12.4821
Gaia-2,147797743,1107980654748582144,10.7447
Gaia-4,166669918,1457486023639239296,11.1045
Gaia-5,42004825,2074815898041643520,12.0628
gam Cep,367912480,2281778105594488192,2.2213
gam Lib,386935627,6265374394490973184,3.0514
gam Psc,262691761,2658974606111711488,2.8162
GJ 1002,176287658,2441630500517079808,10.2531
GJ 1061,79611981,4848140361962951552,9.47068
GJ 1132,101955023,5413438219396893568,10.8372
GJ 1148,115869504,772430527947893632,9.29573
GJ 1151,11893637,786834302080370304,10.2972
GJ 1214,467929202,4393265392168829056,11.581
GJ 1252,370133522,6468968316900356736,10.1165
GJ 1265,471012766,6825822095663585536,10.8472
GJ 1289,352593978,2879455480942629248,9.81379
GJ 143,279741379,4673947174316727040,6.9934
GJ 15 A,440109725,385334230892516480,6.229
GJ 160.2,178351350,5091077112524265344,8.4665
GJ 163,219221189,4780294722094459904,9.47061
GJ 179,450102450,3288082758293022848,9.44636
GJ 180,246902275,2979590513145784192,8.8249
GJ 2030,9967949,5168359139139252352,5.5464
GJ 2056,65406275,5617244278837970816,8.8868
GJ 2126,44082776,5977270148650362112,9.3703
GJ 229,124279525,2940856402123426176,6.408
GJ 238,260708537,5482827676662168832,9.36854
GJ 251,68581262,939072613334579328,7.64819
GJ 27.1,80417903,4980466929965023104,9.54228
GJ 3021,290543478,4634528720388462592,5.9121
GJ 3082,206548902,4915139584039259392,9.14696
GJ 3090,262530407,4933912198895807104,9.49275
GJ 3138,632528291,5144740907820131840,11.075
GJ 317,118608254,5701750715316821248,9.51138
GJ 328,265373654,577602496345490176,8.35839
GJ 3293,178872239,4893118771316702720,9.82063
GJ 3323,43605290,3187115498866675456,9.4284
GJ 3341,77897915,4827532078086044416,9.99373
GJ 338 B,251078597,1022456104850892928,6.046
GJ 341,359271092,5299440441521812992,7.66874
GJ 3470,19028197,654687847820642560,10.2479
GJ 3473,452866790,3094290054327367168,11.1972
GJ 3512,445064836,1040827088726734976,11.576
GJ 357,413248763,5664814198431308288,8.74094
GJ 3634,49064384,5452743423618768000,9.79462
GJ 367,34068865,5412250540681250560,8.03194
GJ 3779,459826435,1446540213584440704,10.3381
GJ 3929,188589164,1372215976327300480,10.2705
GJ 393,277888583,3855208897392952192,7.55839
GJ 3942,162494287,1428030622526979968,8.42457
GJ 3988,274626553,1412645602995521920,10.5929
GJ 3998,459558974,4540061704989418240,8.93677
GJ 414 A,9001920,732857558276385664,6.919
GJ 422,450545735,5339892367684811520,9.28858
GJ 4274,12652442,2595284016771502080,10.2753
GJ 4276,428238233,2200501793758177152,10.3854
GJ 433,57654763,3478160727866058368,7.80742
GJ 436,138819293,4017860992519744384,8.40346
GJ 463,147670988,1584088431025057792,9.39352
GJ 480,399119319,3928391218812375808,9.10756
GJ 486,390651552,3735000631158990976,8.8223
GJ 504,397587084,3732539683617410816,4.6552
GJ 508.2,43133318,1472903753640492160,8.969
GJ 514,404519959,3738099879558957952,7.16738
GJ 536,119147875,3657653114880309248,7.81159
GJ 581,36853511,6322070093095493504,8.20238
GJ 625,207492082,1428427236986209024,8.02476
GJ 649,236743275,4572835535272627712,7.76978
GJ 667 C,154385809,5975663354131618304,8.3617
GJ 674,218263393,5951824121022278144,7.15787
GJ 676 A,369021303,5925209583053212800,7.90696
GJ 680,325624908,5946986063684477056,8.17647
GJ 682,16909043,5955305209191546112,8.24607
GJ 685,219780306,1439069444391326208,8.16639
GJ 687,233193964,1637645127018395776,6.848
GJ 720 A,122958010,2118424350249708800,8.13518
GJ 724,424934357,4105386688016878336,8.682
GJ 740,227642705,4282578724832056576,7.46819
GJ 806,239332587,2070115588901082368,8.72762
GJ 832,139754153,6562924609150908416,6.68
GJ 849,248027247,2627117287488522240,8.02198
GJ 86,220017951,4937000898856156288,5.3588
GJ 876,188580272,2603090003484152064,7.57703
GJ 887,155315739,6553614253923452800,5.5664
GJ 896 A,247985094,2824770686019003904,7.79421
GJ 900 A,422618003,2646280705713202816,8.03
GJ 9066,404715018,76868614540049408,9.29741
GJ 9404,328860504,4010201828880793984,8.85
GJ 96,409527090,354077348697687424,7.64213
GJ 9689,87942223,1803475188714186368,9.54885
GJ 9714,92566472,6781117812601143168,8.0848
GJ 9773,468309671,2723557788822526720,9.73363
GJ 9827,301289516,2643842302456085888,9.0684
Gl 378,252470070,823228721067307392,8.25157
Gl 410,97488127,3988689609004982912,7.80973
Gl 49,256419669,522863309964987520,7.59661
Gl 686,230241767,4550763526539955712,7.69224
Gl 725 A,359676790,2154880616774131840,6.724
Gliese 12,52005579,2768048564768256512,10.1769
GPX-1,245392284,457317534880081152,11.9004
GQ Lup,442623945,6011522757643074304,10.3965
GSC 06214-00210,50175254,6244440552088537600,11.0754
GU Psc,408263079,2784120641627589760,11.7605
HAT-P-1,346338552,1928431764627661440,9.76031
HAT-P-11,28230919,2086512227851023872,8.5077
HAT-P-12,198108326,1499514786891168640,11.7551
HAT-P-13,20096620,1014520826353577088,9.9596
HAT-P-14,101721385,1340497608486742400,9.54417
HAT-P-15,353459965,179498266829041664,11.0878
HAT-P-16,191284318,381592313648387200,10.374
HAT-P-17,266593143,1849786481032616960,9.7525
HAT-P-18,21744120,1334573817793362560,11.733
HAT-P-19,267650535,365426679516816512,11.9475
HAT-P-2,39903405,1380825667768742144,8.27468
HAT-P-20,26826078,869913435026514688,10.2832
HAT-P-21,17993892,770622651659107712,11.1065
HAT-P-22,252479260,846946629987527168,9.007
HAT-P-23,305243225,1808938730710633984,11.734
HAT-P-24,440777904,3167323052618369408,11.3072
HAT-P-25,35022727,111322601672419712,12.2192
HAT-P-26,420779000,3668036348641580288,10.9016
HAT-P-27,461239485,1159336403336463872,11.4063
HAT-P-28,53728859,363702817083391232,12.3396
HAT-P-29,250707118,359058441314838528,11.2791
HAT-P-3,311035838,1510191594552968832,10.7164
HAT-P-30,455135327,3096441729861716224,9.93908
HAT-P-31,320798691,4583004815239650176,11.0269
HAT-P-32,292152376,356348286886230272,10.7696
HAT-P-33,239154970,893550942158776832,10.7131
HAT-P-34,278348461,1810218734058821632,9.87463
HAT-P-35,455096220,3094733088793018240,11.8997
HAT-P-36,373693175,1541532207133249920,11.6281
HAT-P-37,267572272,2133946843094378752,12.7678
HAT-P-38,285272237,324889227693298560,11.7524
HAT-P-39,14770122,3169391577586325120,11.8887
HAT-P-4,138294130,1291120362349158016,10.6506
HAT-P-40,199671901,1962153854973972096,10.9726
HAT-P-41,398895470,4290415081653653632,10.5523
HAT-P-42,270468559,583455604761166848,11.5598
HAT-P-43,468987719,601321985813952000,12.7656
HAT-P-44,168699373,1506159170017461888,12.4474
HAT-P-45,167227214,4270547520706275328,11.6961
HAT-P-46,104866616,4177560894633502720,11.1323
HAT-P-49,99224131,1835842749465226368,9.93225
HAT-P-5,76419763,4606030169272920320,11.3998
HAT-P-50,17746821,3151961363348862720,11.3155
HAT-P-51,61205803,316706322857704960,12.7628
HAT-P-52,436875934,128623485853170432,13.1361
HAT-P-53,189380158,323386882492982144,13.0942
HAT-P-54,284326455,3383298227579280640,12.2341
HAT-P-55,311408969,4593808272896243328,12.658
HAT-P-56,84339983,3385777286999240576,10.5136
HAT-P-57,317520667,4483640815570090368,10.1154
HAT-P-58,9443323,277493615044741376,12.1957
HAT-P-59,229400092,2241743203599727744,11.2086
HAT-P-6,176899385,1925321658551399040,9.99577
HAT-P-60,354469661,359678187913760384,9.17925
HAT-P-61,259506033,256580182331399296,12.3824
HAT-P-62,453064665,255397142179844224,11.8889
HAT-P-63,325670253,4474644332250439552,12.8999
HAT-P-64,455036659,3279418602369232000,12.1569
HAT-P-65,283419843,1757302881526250496,12.5375
HAT-P-66,137881699,852608874351434752,12.5119
HAT-P-67,198588220,1358614983131339392,9.63331
HAT-P-68,63189173,675443053940533760,12.8033
HAT-P-69,379929661,3080104185367102592,9.6129
HAT-P-7,424865156,2129256395211984000,10.0274
HAT-P-70,399870368,3291455819447952768,9.3371
HAT-P-8,188876052,1891507552826485632,9.7758
HAT-P-9,371234684,898130030131443584,11.7946
HATS-1,219698950,3540018633568783488,11.5122
HATS-10,126325985,6771939433131924096,12.5192
HATS-11,11439959,6771149120491232768,13.3735
HATS-12,11270200,4083840142695803520,12.2994
HATS-13,289793076,6803000980210856704,13.163
HATS-14,29344935,6805149288493408640,13.2366
HATS-15,271898990,6858088299469303168,14.0739
HATS-16,77044471,2327000400367097984,13.2576
HATS-17,73717937,6127982342061605120,11.7528
HATS-18,14614418,3483636295773117440,13.3898
HATS-2,413376180,3492502001623237888,12.7492
HATS-22,14661418,3483606402800185728,12.4806
HATS-23,7088246,6657994706683397504,13.2851
HATS-24,380589029,5911182735242698496,12.2851
HATS-25,437333618,6287125101007614080,12.472
HATS-26,315002523,5656896924435896832,12.4257
HATS-27,248111245,6134228079203074176,12.3335
HATS-28,6663331,6661242835829891584,13.2887
HATS-29,201604954,6638230431120193280,11.9707
HATS-3,336732616,6805886373600546176,11.5232
HATS-30,281459670,4906145613282734208,11.6714
HATS-31,9385460,3498553232585634816,12.5329
HATS-32,204317710,2398227794405981568,13.7426
HATS-33,360742636,6640975950310072960,11.2474
HATS-34,355703913,4904523077718046720,13.183
HATS-35,339522221,6441034841743467776,12.0457
HATS-36,119262291,6771542097119292928,13.7805
HATS-37 A,6036597,6194574671813047424,11.3876
HATS-38,168281028,5472386851683941376,11.8134
HATS-39,112604564,5605481703444311040,12.3213
HATS-4,59843967,2937583121652951936,12.7632
HATS-40,172598832,2894378838731535872,12.941
HATS-41,53750200,2919151080524391552,12.2309
HATS-42,98283926,5603100779728361088,13.1472
HATS-43,78055054,2905983466705521792,12.8461
HATS-44,32499655,2907577758566408960,13.5452
HATS-45,4616072,2926039005480063616,12.8893
HATS-46,281541555,4919771654727611008,13.0417
HATS-47,158297421,6658373007402886400,13.6699
HATS-48 A,201642601,6638412919991750912,13.1686
HATS-49,281541545,4919770108539385472,13.7813
HATS-5,139733308,4899428146994060800,11.9012
HATS-50,301031110,6850309426503755520,13.4041
HATS-51,53458803,5608644895310998272,11.8656
HATS-52,19684256,5631530950664938240,13.1758
HATS-53,157266693,3465357945752055040,13.1648
HATS-54,363851359,6087996849371141248,13.2755
HATS-55,114299824,5592019557950033536,12.9264
HATS-56,272213425,6144125887169672064,11.1138
HATS-57,178289267,5094406193214399616,11.7076
HATS-58 A,21113347,6128363666439822208,11.4007
HATS-59,437261733,3538256769264276480,13.2958
HATS-6,33521996,2966680597368750720,13.3383
HATS-60,145750719,2596986648798061952,12.0213
HATS-61,44745133,4890849134501995392,12.5757
HATS-62,336732544,6806639397331208320,13.3102
HATS-63,178879588,4891362198412001408,13.2554
HATS-64,189625051,5632704511826797824,12.487
HATS-65,169504920,6766134630213144704,11.9801
HATS-66,52689469,5582647836223843840,13.6373
HATS-67,272212970,6144060260072337024,13.174
HATS-68,322307342,4904279261014267648,11.7806
HATS-69,467971286,6445881974332225536,13.191
HATS-7,220029715,6288858347945925504,12.4284
HATS-70,98545929,5605119586158973440,12.4539
HATS-71,234523599,4710594412266148352,14.1266
HATS-72,188570092,2594869603582993792,11.3875
HATS-74 A,219189765,3545653561942122368,14.7599
HATS-75,44737596,5082914338199586560,13.8231
HATS-76,170849515,4877426575724467456,14.857
HATS-77,11561667,5466556141521710592,14.9181
HATS-8,96847781,6767008363999712512,13.8205
HATS-9,12611594,4083159643769233408,12.5866
HD 100508,280859200,5236623864770649600,7.0244
HD 100546,280773136,5233604915060520576,6.6634
HD 100655,156942082,3979226627820659072,5.59198
HD 100777,49427341,3786035184916139136,7.7645
HD 10180,231836962,4716158250340258944,6.7568
HD 101930,267399515,5341787994441794176,7.4165
HD 102117,267519701,5341673851394297600,6.8219
HD 102195,397024052,3799626935341796096,7.3319
HD 102272,82605074,3923915248709126144,7.8017
HD 102329,325254372,3895948101012579456,6.9588
HD 102365,454082369,5381537023379295232,4.2702
HD 102843,78290210,3794501355731126016,8.5594
HD 102888,397394991,3487277912642549248,5.64398
HD 102956,137810576,845335158256083584,7.03923
HD 103197,400806831,5370827127297364480,8.6294
HD 103720,96195878,3601912720075891968,8.6509
HD 103774,180205814,3574907305749250432,6.6793
HD 103891,183648073,3594183153334105216,6.0485
HD 103949,428657118,3492633633781166336,7.7679
HD 104067,428673146,3494677900774838144,7.0276
HD 10442,380908091,2560311854337920000,7.00131
HD 104985,160224839,1693159194226600192,4.88679
HD 105618,397519199,3906803888551408000,8.0222
HD 105779,347713631,3567602184853029760,8.0699
HD 106252,397558558,3905603054348141440,6.8503
HD 106270,176910071,3581292685166588672,6.922
HD 106315,56815340,3698307419878650240,8.56338
HD 10647,229137615,4912580642524184960,5.0067
HD 106515 A,176940023,3584074376569429248,7.282
HD 106906,390472975,6072902994276659200,7.3702
HD 10697,456905162,95652018353917056,5.6478
HD 107148,66666079,3693358861640279296,7.4142
HD 108147,450491293,6053512007260865280,6.4831
HD 108202,94924490,3694842171545206656,9.0565
HD 108236,260647166,6125644402384918784,8.6522
HD 108341,286896213,5842782219960409728,8.5971
HD 108863,371621400,3952692457305436800,6.86161
HD 108874,371621238,3958951942642583936,8.106
HD 109246,154549250,1692267077979468544,8.1627
HD 109271,429301734,3578137842709899648,7.4446
HD 109286,399087153,3902370696320119296,8.1658
HD 109749,144289338,6147000074988843264,7.5993
HD 10975,28763463,343449606741529728,5.08672
HD 109833,360630575,5838450865699668736,8.7215
HD 109988,389315309,6160221740968692992,8.12
HD 110014,32448045,3676091134604409728,3.64306
HD 110067,347332255,3948424496764080640,7.6621
HD 110082,383390264,5765748511163751936,8.7581
HD 110113,73228647,6133384959942131968,9.4628
HD 110537,51739133,3681795018676501120,7.2196
HD 11112,115319029,4959271163279358208,6.5476
HD 111232,329649885,5855730584310531200,6.9421
HD 111591,954124944,3955257343054729984,5.55369
HD 111998,53304943,3679242575447826432,5.6643
HD 112300,411188061,3704342295607157120,1.3982
HD 112570,137004295,1530780980576364032,5.21848
HD 112640,459217467,1679187115856566528,5.3159
HD 113337,142350121,1676282377934772608,5.6218
HD 113538,422214062,6080301367488384896,7.6132
HD 113996,328997091,1460876573902483328,3.41146
HD 114082,441546821,6055854551117476480,7.7897
HD 114386,124306858,6166971574132849792,7.8087
HD 114729,124401411,6180035765135232128,6.0903
HD 114783,292113181,3684934540986187776,6.7671
HD 11505,328159699,2505825177666430592,6.8292
HD 11506,266680498,5137855525488932864,6.9834
HD 115404 A,373765355,3936909723803146368,5.7168
HD 115954,180655149,1476407794120339328,7.768
HD 116029,305837711,1446584503287858560,7.01753
HD 117207,405501056,6166183842771027328,6.6189
HD 11755,137121812,558504529130235136,5.74336
HD 117618,243194645,6083860761505899904,6.6222
HD 118203,286923464,1560420854826284928,7.4556
HD 11964,24978373,2462426800883134336,5.6847
HD 11977,232074535,4697508196671120000,3.8735
HD 120084,284181945,1715055487257379968,5.07121
HD 121504,208844024,5872266689455300608,6.9884
HD 12235,422679659,2511794495013074048,5.3369
HD 122562,233435627,1247279294695975168,6.8366
HD 124330,441692540,1609157502297291008,7.292
HD 12484,419940916,2517585931994600448,7.6209
HD 125271,421255607,5772625505422769024,8.709
HD 125390,27354139,1484890423248544256,7.35454
HD 125595,180030300,6104435819513399168,8.0025
HD 125612,347909637,6296703260330865536,7.7347
HD 12648,397288169,574577774218025600,6.14342
HD 126525,333459486,5898641087150340224,7.2231
HD 12661,118268680,105332908999068032,6.7944
HD 126614,287973473,3641697998570813952,8.1264
HD 127506,286992966,1480314599451475712,7.6884
HD 128311,349606708,1176209886733406592,6.57
HD 128356,1056530200,6223838830917236224,7.3809
HD 128717,298163592,1610837178107032192,7.8218
HD 129445,258186667,5800013451037514496,8.1495
HD 130322,189694184,3650718804281798912,7.3401
HD 131496,267365022,1236429004715336576,6.92302
HD 13167,72638232,5121479777262042112,7.70677
HD 13189,63564248,325494788018024576,6.2066
HD 132406,309808219,1594127865540229888,7.8477
HD 132563,284680749,1585765117538284800,8.50087
HD 133131 A,440955228,6224633983987510528,7.8562
HD 133131 B,440955225,6224633983987511552,7.8398
HD 134060,454901855,5876112300125320448,5.7308
HD 134606,262457542,5798962867668048768,6.2133
HD 134987,61397572,6226694571859532800,5.841
HD 135344 A,307606851,6199395656645840384,7.712
HD 135625,143713715,6000000322464144896,7.1619
HD 135694,232540264,1696831425624356480,8.4724
HD 135872,38948719,6334990316794611200,6.4631
HD 136118,38991680,4415515934099120768,6.4252
HD 136352,136916387,5902750168276592256,5.0494
HD 136418,1101862696,1392396172224832896,7.03952
HD 136925,400015692,1170797781264303616,7.3152
HD 13724,7244844,4942867480584948352,7.2967
HD 137388,407090552,5778418870846853888,7.9461
HD 137496,346250894,6258810550587404672,9.29961
HD 13808,220022156,4743692151804240896,7.5613
HD 13908,12906712,515574853541230720,7.0174
HD 13931,292851928,351537889154226816,7.0362
HD 139357,224312054,1597757387783227008,4.97502
HD 1397,394137592,4707634458245031552,7.1062
HD 14067,246937460,101040381244467968,5.62574
HD 140901,179348425,6009538585839374336,5.3708
HD 141004,296740796,4430238051199001216,3.8709
HD 141399,156067565,1398218223733415552,6.535
HD 141937,437430894,6248534171318085376,6.675
HD 142,389757979,4976894960284258048,5.2459
HD 142022 A,290493086,5768159705804908800,7.0311
HD 142245,172607132,1193193836691820032,6.5905
HD 142415,342041655,5833117718964892928,6.7683
HD 143105,272783172,1646538011423566464,6.2659
HD 143361,255480497,5991331601015519104,8.5341
HD 143811 A,93869857,6040105283968486144,8.44545
HD 144899,215687919,5984023937500025344,8.3937
HD 145377,68165288,6042491773948918656,7.5678
HD 145457,236339228,1315900158983769472,5.66538
HD 145934,119974993,4463442512084825728,7.63368
HD 1461,37748347,2430102808294101760,5.8575
HD 147018,350083732,5831054382288870912,7.6299
HD 147379,230073581,1642641410934267008,6.9707
HD 147513,350673608,6018047019138644480,4.8119
HD 14787,380966347,24570756281835392,6.80945
HD 147873,211080657,6024733935303422208,7.4327
HD 148156,225317852,5942178414758660864,7.1802
HD 148164,323319664,4459907547841472128,7.7098
HD 149026,255930614,1331356474971716992,7.6262
HD 149143,281520119,4432401099808805888,7.3185
HD 149806,281738302,4383374219923745024,6.3539
HD 150010,233008631,1654516686269888896,5.1389
HD 1502,303193565,2768172019308167296,7.53199
HD 150706,159511543,1709456705329541504,6.44
HD 151450,12514017,4134094524223600640,6.9013
HD 152079,246835467,5939949051801737472,8.5703
HD 152581,353181458,4448227641977175296,7.56547
HD 152843,349488688,4564566554995619072,8.40302
HD 15337,120896927,5068777809824976256,8.3157
HD 153557,115582979,1408029509584967168,6.9039
HD 153950,124165580,5965406010180880640,6.8472
HD 154088,20856917,6029992663310612096,5.8611
HD 154345,198562505,1359938520253565952,6.0913
HD 154391,424731682,1438038102484626048,5.31961
HD 154672,380086262,5917231492323978880,7.5864
HD 154857,173552927,5917212800626605824,6.5859
HD 155193,447842929,4443815297524544000,6.4965
HD 155358,21897561,1334643739861016832,6.7281
HD 155918,311649327,5801950515627094400,6.4247
HD 156098,152449405,5979460655025099776,5.0618
HD 156279,232606278,1631084478574318976,7.3759
HD 156411,412409409,5950535424666050304,6.0976
HD 156668,257715493,4575374857376398976,7.4911
HD 156846,75673519,4122343906051101184,5.9712
HD 158038,313709116,4574156834713113600,6.6166
HD 158259,188768068,1416050859226670848,5.8961
HD 158996,288268410,1709691004385812864,4.38512
HD 15906,4646810,5175239363214344960,8.8723
HD 159243,348652846,4485937214320449280,8.1282
HD 159868,248320609,5955841736510622208,6.5739
HD 1605,57983992,2862328869351558272,6.6755
HD 160691,362661163,5945941905576552064,4.5071
HD 161178,441797545,1651497186822868224,5.00658
HD 16141,251109533,2495335115182966016,6.2243
HD 16175,422922274,340028235795364864,6.7165
HD 162020,367987991,5957920668132624256,8.1181
HD 163607,232620788,1418519292895059840,7.3311
